62,6/15/15,MONDAY,,LOT 22,,Classic,Hope,FEMALE,CRUISER,WHITE,1
63,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,FIRMSTRONG,BELLA,FEMALE,CRUISER,BLUE/GREEN,1
64,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,PACIFIC,EVOLUTION,FEMALE,MOUNTAIN,WHITE,18
65,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,PACIFIC,EVOLUTION,MALE,MOUNTAIN,BLACK,18
66,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,MOUNTAIN,MOUNTAIN SPORT,FEMALE,MOUNTAIN,PINK/BLACK,18
67,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,K2,ECHO,MALE,21,GREEN,21
68,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,PACIFIC,EVOLUTION,MALE,MOUNTAIN,BLACK,18
69,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,FUJI,NEVADA,MALE,MOUNTAIN,WHITE,21
70,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,MONGOOSE,LEDGE,MALE,MOUNTAIN,BLUE,21
71,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,ROADMASTER,GRANITE PEAK,FEMALE,MOUNTAIN,GREEN,18
72,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,NORTHWOODS,RIDGEDALE,MALE,CRUISER,BLACK,1
73,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,ROADMASTER,GRANITE PEAK,MALE,MOUNTAIN,BLACK,18
74,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,NEXT,MOUNTAIN,MALE,MOUNTAIN,BLUE,21
75,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,SE RACING,MONTEREY,MALE,HYBRID,BLACK,21
76,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,MONGOOSE,SPIRE,FEMALE,MOUNTAIN,BLUE/GREEN,18
77,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,SCHWINN,SIDEWINDER,FEMALE,MOUNTAIN,PURPLE,21
78,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,KENT,FIXIE,MALE,FIXIE,BLACK,1
79,6/16/15,TUESDAY,8:00,SANTA CATALINA,ABANDONED,SCHWINN,TOURIST,MALE,HYBRID,WHITE/RED,18
80,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,PACIFIC,EVOLUTION,MALE,MOUNTAIN,BLACK,18
81,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,TREK,MOUNTAIN TRAIL,MALE,MOUNTAIN,PURPLE,21
82,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,HUFFY,SANTA FE,FEMALE,CRUISER,BLUE/GREEN,1
83,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,TREK,ROAD,FEMALE,ROAD,RED,24
84,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,HUFFY,SUPERIA,FEMALE,MOUNTAIN,BLUE,15
85,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,NEXT,PX 4.0,MALE,MOUNTAIN,BLACK,18
86,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,MICARGI,TOUCH,FEMALE,CRUISER,GREEN,1
87,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,THRUSTER,FIXIE,MALE,FIXIE,GREEN,1
88,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,SCHWINN,CRUISER,FEMALE,CRUISER,WHITE,7
89,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,SCHWINN,RANGER 2.6FS,FEMALE,MOUNTAIN,BLUE,21
90,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,DIAMONDBACK,EDGEWOOD,MALE,HYBRID,BLUE,21
91,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,AMERICAN FLYER,WAVE,MALE,CRUISER,BLACK,1
92,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,FIXIE,FIXIE,MALE,FIXIE,SILVER,1
93,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,HUFFY,CRANBROOK,FEMALE,CRUISER,GREEN,1
94,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,PACIFIC,EVOLUTION,FEMALE,MOUNTAIN,WHITE,18
95,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,SCHWINN,LANDMARK,FEMALE,CRUISER,WHITE/BLUE,7
96,6/16/15,TUESDAY,9:00,SANTA CATALINA,ABANDONED,QUEST,SIERRA,MALE,MOUNTAIN,BLUE,15
97,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,SCHWINN,WAYFARER,MALE,HYBRID,BLACK,7
98,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,DIAMONDBACK,DEVINE,FEMALE,MOUNTAIN,BLUE,21
99,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,MONGOOSE,SPIRE,MALE,MOUNTAIN,GREY,18
100,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,ROADMASTER,GRANITEPEAK,MALE,MOUNTAIN,BLACK,18
101,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,SCHWINN,RIVERSIDE,FEMALE,HYBRID,WHITE,7
102,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,MICARGI,MARIN,MALE,MOUNTAIN,GREY,24
103,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,ROADMASTER,NORTHERN POINT,MALE,MOUNTAIN,BLUE,18
104,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,SKY,FIXIE,MALE,FIXIE,BLACK,1
105,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,MICARGI,FIXIE,MALE,FIXIE,BLACK,1
106,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,SCHWINN,LEGACY,FEMALE,CRUISER,WHITE&BLACK,1
107,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,SCHWINN,GATEWAY,FEMALE,HYBRID,WHITE,7
108,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,SKY,FIXIE,MALE,FIXIE,BLACK,1
109,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,ROADBIKE,ROADBIKE,FEMALE,ROAD,BLACK,10
110,6/16/15,TUESDAY,9:15,SAN RAFAEL,ABANDONED,MICARGI,RD 626,MALE,ROAD,WHITE,1
111,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,FIXIE,FIXIE,MALE,FIXIE,GREY,1
112,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,3G BIKES,ISLA VISTA,MALE,CRUISER,BLACK,1
113,6/16/15,TUESDAY,9:15,SANTA CATALINA,ABANDONED,SCHWINN,GATEWAY,FEMALE,HYBRID,WHITE,7
114,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,FIRMSTROMG,URBAN,FEMALE,CRUISER,GREEN,1
115,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,HUFFY,CRANBROOK,FEMALE,CRUISER,GREEN,1
116,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,AMERICAN FLYER,COAST FLYER,FEMALE,CRUISER,WHITE,1
117,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,PURE FIX,FIXIE,MALE,FIXIE,BLUE,1
118,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,STATE,HYBRID,MALE,HYBRID,YELLOW,1
119,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,SCHWINN,MAJESTIC,MALE,CRUISER,BLACK,7
120,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,MONGOOSE,BEDLAM,MALE,MOUNTAIN,ORANGE,21
121,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,HUFFY,SUPERIA,FEMALE,MOUNTAIN,BLUE,15
122,6/16/15,TUESDAY,10:00,SANTA CATALINA,ABANDONED,GENESIS,29,MALE,MOUNTAIN,BLACK,21
